restaurant_name,city,locality,cuisines,cost,currency,price_range,rating,votes,cost_bucket,primary_cuisine
Le Petit Souffle,makati city,"Century City Mall, Poblacion, Makati City","french, japanese, desserts",1100,Botswana Pula(P),3,4.8,314,High,french
Izakaya Kikufuji,makati city,"Little Tokyo, Legaspi Village, Makati City",japanese,1200,Botswana Pula(P),3,4.5,591,High,japanese
Heat - Edsa Shangri-La,mandaluyong city,"Edsa Shangri-La, Ortigas, Mandaluyong City","seafood, asian, filipino, indian",4000,Botswana Pula(P),4,4.4,270,High,seafood
Ooma,mandaluyong city,"SM Megamall, Ortigas, Mandaluyong City","japanese, sushi",1500,Botswana Pula(P),4,4.9,365,High,japanese
Sambo Kojin,mandaluyong city,"SM Megamall, Ortigas, Mandaluyong City","japanese, korean",1500,Botswana Pula(P),4,4.8,229,High,japanese
Din Tai Fung,mandaluyong city,"SM Megamall, Ortigas, Mandaluyong City",chinese,1000,Botswana Pula(P),3,4.4,336,High,chinese
Buffet 101,pasay city,"SM by the Bay, Mall of Asia Complex, Pasay City","asian, european",2000,Botswana Pula(P),4,4.0,520,High,asian
Vikings,pasay city,"SM by the Bay, Mall of Asia Complex, Pasay City","seafood, filipino, asian, european",2000,Botswana Pula(P),4,4.2,677,High,seafood
Spiral - Sofitel Philippine Plaza Manila,pasay city,"Sofitel Philippine Plaza Manila, Pasay City","european, asian, indian",6000,Botswana Pula(P),4,4.9,621,High,european
Locavore,pasig city,Kapitolyo,filipino,1100,Botswana Pula(P),3,4.8,532,High,filipino
Silantro Fil-Mex,pasig city,Kapitolyo,"filipino, mexican",800,Botswana Pula(P),3,4.9,1070,High,filipino
Mad Mark's Creamery & Good Eats,pasig city,Kapitolyo,"american, ice cream, desserts",900,Botswana Pula(P),3,4.2,488,High,american
Silantro Fil-Mex,quezon city,"UP Town Center, Diliman, Quezon City","filipino, mexican",800,Botswana Pula(P),3,4.8,294,High,filipino
Guevarra's,san juan city,Addition Hills,filipino,1000,Botswana Pula(P),3,4.2,458,High,filipino
Sodam Korean Restaurant,san juan city,Little Baguio,korean,700,Botswana Pula(P),3,4.3,223,High,korean
Cafe Arabelle,santa rosa,"Nuvali, Don Jose, Santa Rosa","cafe, american, italian, filipino",800,Botswana Pula(P),3,3.6,29,High,cafe
Nonna's Pasta & Pizzeria,santa rosa,"Solenad 3, Don Jose, Santa Rosa","italian, pizza",850,Botswana Pula(P),3,4.0,72,High,italian
Balay Dako,tagaytay city,Tagaytay City,filipino,1200,Botswana Pula(P),3,4.5,211,High,filipino
Hobing Korean Dessert Cafe,taguig city,"BGC Stopover Pavillion, Bonifacio Global City","cafe, korean, desserts",600,Botswana Pula(P),2,4.5,118,Medium,cafe
Wildflour Cafe + Bakery,taguig city,Bonifacio Global City,"cafe, bakery, american, italian",1500,Botswana Pula(P),4,4.4,392,High,cafe
NIU by Vikings,taguig city,"SM Aura Premier, Bonifacio Global City, Taguig City","seafood, american, mediterranean, japanese",3000,Botswana Pula(P),4,4.7,535,High,seafood
The Food Hall by Todd English,taguig city,"SM Aura Premier, Bonifacio Global City, Taguig City","american, asian, italian, seafood",1800,Botswana Pula(P),4,4.5,618,High,american
Chez Michou,brasí_lia,Asa Norte,"fast food, french",55,Brazilian Real(R$),2,3.0,6,Low,fast food
Cafí© Daniel Briand,brasí_lia,Asa Norte,cafe,30,Brazilian Real(R$),1,3.8,9,Low,cafe
Casa do Biscoito Mineiro,brasí_lia,Asa Norte,bakery,45,Brazilian Real(R$),2,3.7,11,Low,bakery
Maori,brasí_lia,Asa Norte,brazilian,60,Brazilian Real(R$),3,3.8,11,Low,brazilian
Pizza íæ Bessa,brasí_lia,Asa Sul,pizza,50,Brazilian Real(R$),2,3.2,11,Low,pizza
Sushi Loko,brasí_lia,Asa Sul,japanese,80,Brazilian Real(R$),3,3.1,10,Low,japanese
Beirute,brasí_lia,Asa Sul,arabian,90,Brazilian Real(R$),3,3.7,8,Low,arabian
